,0,0
0,Age_seasonEnd,0.0032236344623627735
1,MinPlayed,0.004282078162522624
2,3PtMade,-0.002112393145654137
3,2PMade,0.003914382744367263
4,FTMade,-0.003216174567280397
5,Offrb,-0.001997433606985199
6,Drebounds,0.002588182190927244
7,Assists,-0.0048892003821788856
8,Steals,-0.003962275759126015
9,Blocks,0.009387117977426883
10,Turnover,0.016591350186102714
11,PersonalFouls,-0.009517244267103087
12,Pts,0.0012579885561930515
13,Years_Playing,0.011236260763472217
14,Position_Mapped,0.0014229543128994816
15,PER,0.031729972793432995
16,TS%,-0.01819412847696927
17,OffRb%,-0.007878321669070286
18,Drebound%,0.002589396587326785
19,Assist%,-0.01160007422174213
20,Steal%,-0.004323513065394475
21,Block%,-0.002423319610615397
22,Turnover%,0.009884960714102935
23,Usg%,0.007596845001977269
24,OffWinShares,0.012299473312938125
25,Dwinshares,0.007160573492610216
26,WinShares,0.007036396947982986
